Origin,Origin City,Origin Country,Origin IATA,Destination,Flight Distance (km),Flight Time (min),Airlines
AAN,Al Ain,United Arab Emirates,AAN,CCJ,2594,225,Air India Express
AAN,Al Ain,United Arab Emirates,AAN,ISB,1964,193,Pakistan International Airlines
AAN,Al Ain,United Arab Emirates,AAN,KHT,1721,150,Ariana Afghan Airlines
AAN,Al Ain,United Arab Emirates,AAN,TUK,775,143,Pakistan International Airlines
AAP,Samarinda,Indonesia,AAP,CGK,1338,125,"Batik Air, Citilink"
AAP,Samarinda,Indonesia,AAP,SUB,919,95,"Lion Air, Citilink"
AAP,Samarinda,Indonesia,AAP,BEJ,280,60,Wings Air
AAP,Samarinda,Indonesia,AAP,YIA,1153,115,
AAP,Samarinda,Indonesia,AAP,DPS,954,100,
AAP,Samarinda,Indonesia,AAP,UPG,579,75,
AAT,Altay,China,AAT,URC,430,75,"China Southern Airlines, Tianjin Airlines"
AAT,Altay,China,AAT,XIY,2268,215,China Eastern Airlines
AAT,Altay,China,AAT,KRL,698,78,Gestair
AAT,Altay,China,AAT,KCA,782,100,Gestair
AAT,Altay,China,AAT,LHW,1784,180,Spring Airlines
AAT,Altay,China,AAT,TLQ,531,60,Chengdu Airlines
AAT,Altay,China,AAT,KRY,340,50,Chengdu Airlines
AAT,Altay,China,AAT,YIN,672,80,Chengdu Airlines
AAT,Altay,China,AAT,TFU,2387,270,Sichuan Airlines
AAT,Altay,China,AAT,TCG,378,55,Chengdu Airlines
AAT,Altay,China,AAT,PKX,2445,243,China Southern Airlines
AAT,Altay,China,AAT,CGQ,2919,300,China Southern Airlines
AAT,Altay,China,AAT,CAN,3507,325,China Southern Airlines
AAT,Altay,China,AAT,HRB,2898,295,China Southern Airlines
AAY,Al Ghaydah,Republic of Yemen,AAY,ADE,854,90,Yemenia
AAY,Al Ghaydah,Republic of Yemen,AAY,SCT,436,75,Yemenia
ABD,Abadan,Iran,ABD,THR,657,80,"Iran Aseman Airlines, Iran Air, Qeshm Air"
ABD,Abadan,Iran,ABD,MHD,1245,120,"Iran Aseman Airlines, Qeshm Air, Iran Airtour, AIS Airlines"
ABD,Abadan,Iran,ABD,IFN,435,55,Iran Aseman Airlines
ABT,Al-Baha,Saudi Arabia,ABT,RUH,733,100,"Saudia, Flynas"
ABT,Al-Baha,Saudi Arabia,ABT,JED,300,65,Saudia
ABT,Al-Baha,Saudi Arabia,ABT,DMM,1078,115,"Flynas, Flyadeal"
ABU,Atambua,Indonesia,ABU,KOE,182,50,Wings Air
ACF,Alaer,China,ACF,URC,641,75,"China Southern Airlines, Tianjin Airlines"
ACF,Alaer,China,ACF,SHF,569,95,"Chengdu Airlines, Gestair"
ACF,Alaer,China,ACF,TWC,183,38,Gestair
ACF,Alaer,China,ACF,KRL,430,65,Gestair
ACF,Alaer,China,ACF,YIN,390,65,Gestair
ACF,Alaer,China,ACF,AKU,122,40,Gestair
ACF,Alaer,China,ACF,KHG,459,78,Gestair
ACF,Alaer,China,ACF,TFU,2376,235,"Loong Air, Chengdu Airlines"
ACF,Alaer,China,ACF,TLQ,710,90,Chengdu Airlines
ACF,Alaer,China,ACF,HTN,395,65,Chengdu Airlines
ACF,Alaer,China,ACF,CGO,2937,235,Loong Air
ACF,Alaer,China,ACF,HGH,3702,335,Loong Air
ACP,Sahand,Iran,ACP,THR,498,90,Iran Air
ACX,Xingyi,China,ACX,KWE,244,58,"Gestair, Colorful GuiZhou Airlines, 9 Air Co"
ACX,Xingyi,China,ACX,PVG,1783,175,China Eastern Airlines
ACX,Xingyi,China,ACX,TEN,532,73,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,WMT,351,60,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,CAN,867,100,China Southern Airlines
ACX,Xingyi,China,ACX,CKG,539,95,"Gestair, Okay Airways"
ACX,Xingyi,China,ACX,WUH,1107,130,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,XIY,1099,130,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,ZUH,923,120,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,LLB,305,70,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,PKX,1925,195,China United Airlines
ACX,Xingyi,China,ACX,JHG,549,80,Okay Airways
ACX,Xingyi,China,ACX,CTU,616,85,Chengdu Airlines
ACX,Xingyi,China,ACX,SZX,941,110,Chengdu Airlines
ACX,Xingyi,China,ACX,HGH,1628,155,Okay Airways
ACX,Xingyi,China,ACX,FOC,1480,150,Chengdu Airlines
ACX,Xingyi,China,ACX,KMG,204,55,Sichuan Airlines
ACX,Xingyi,China,ACX,NGB,1711,145,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,SWA,1184,140,Sichuan Airlines
ACX,Xingyi,China,ACX,TFU,581,80,Chengdu Airlines
ACX,Xingyi,China,ACX,HAK,803,110,Okay Airways
ACZ,Zabol,Iran,ACZ,MHD,597,65,"Qeshm Air, Mahan Air"
ACZ,Zabol,Iran,ACZ,THR,1078,135,Mahan Air
ADA,Adana,Turkiye,ADA,DOH,2023,205,Qatar Airways
ADB,Izmir,Turkiye,ADB,IST,356,85,"Pegasus, Turkish Airlines"
ADB,Izmir,Turkiye,ADB,SAW,344,70,"Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ESB,543,85,"Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ECN,665,80,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,AYT,357,65,"SunExpress, TUIfly Netherlands, Luxair"
ADB,Izmir,Turkiye,ADB,GZT,923,100,SunExpress
ADB,Izmir,Turkiye,ADB,DIY,1144,115,SunExpress
ADB,Izmir,Turkiye,ADB,GYD,1982,180,"AZAL Azerbaijan Airlines, Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ASR,729,88,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,TZX,1123,115,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,SZF,869,95,SunExpress
ADB,Izmir,Turkiye,ADB,VAN,1412,125,SunExpress
ADB,Izmir,Turkiye,ADB,BEY,900,95,SunExpress
ADB,Izmir,Turkiye,ADB,IKA,2158,195,Iran Airtour
ADB,Izmir,Turkiye,ADB,MLX,970,105,SunExpress
ADB,Izmir,Turkiye,ADB,ERZ,1226,120,SunExpress
ADB,Izmir,Turkiye,ADB,KYA,475,70,SunExpress
ADB,Izmir,Turkiye,ADB,AUH,3016,275,SunExpress
