,iata,name,country,city_name,latitude,longitude
0,AAN,Al Ain International Airport,United Arab Emirates,Al Ain,24.260231,55.616626
1,AAP,Aji Pangeran Tumenggung Airport,Indonesia,Samarinda,-0.372898,117.250905
2,AAT,Altay Airport,China,Altay,47.750361,88.084444
3,AAY,Al Ghaydah,Republic of Yemen,Al Ghaydah,16.195959,52.173255
4,ABD,Abadan,Iran,Abadan,30.363905,48.226598
5,ABT,Al-Aqiq Airport,Saudi Arabia,Al-Baha,20.294011,41.64002
6,ABU,Haliwen Airport,Indonesia,Atambua,-9.075208,124.906972
7,ACF,Alaer Talimu Airport,China,Alaer,40.435556,81.263889
8,ACP,Sahand Airport,Iran,Sahand,37.347244,46.145116
9,ACX,Xingyi Airport,China,Xingyi,25.085556,104.959444
10,ACZ,Zabol Airport,Iran,Zabol,31.087694,61.542245
11,ADA,Adana,Turkiye,Adana,36.982185,35.280391
12,ADB,İzmir Adnan Menderes Airport,Turkiye,Izmir,38.294403,27.147594
13,ADE,Aden Intl,Republic of Yemen,Aden,12.826116,45.037535
14,ADU,Ardabil Airport,Iran,Ardabil,38.323826,48.42125
15,AEB,Tianyang,China,Baise,23.719469,106.967772
16,AEU,Abu Musa Airport,Iran,Abu Musa,25.875475,55.033913
17,AGR,Agra,India,Agra,27.158333,77.962778
18,AGX,Agatti Island Airport,India,Agatti Island,10.828967,72.179874
19,AHB,Abha,Saudi Arabia,Abha,18.23429,42.657575
20,AHJ,Hongyuan Airport,China,Hongyuan,32.527401,102.357396
21,AIP,Adampur Airport,India,Adampur,31.433056,75.760556
22,AJF,Jouf,Saudi Arabia,Jouf,29.788668,40.101486
23,AJI,Agri,Turkiye,Agri,39.65,43.025
24,AJK,Arak Airport,Iran,Arak,34.134875,49.842483
25,AJL,Aizawl,India,Aizawl,23.838986,92.624815
26,AKA,Ankang Airport,China,Ankang,32.7091,108.936
27,AKJ,Asahikawa,Japan,Asahikawa,43.671091,142.454546
28,AKU,Aksu Airport,China,Aksu,41.259984,80.292618
29,AKX,Aktyubinsk,Kazakhstan,Aktobe,50.249336,57.211403
30,AKY,Sittwe,Myanmar,Sittwe,20.130278,92.880278
31,ALA,Almaty International Airport,Kazakhstan,Almaty,43.35136,77.037091
32,ALP,Aleppo International,Syrian Arab Republic,Aleppo,36.185351,37.227073
33,AMD,Ahmedabad Airport,India,Ahmedabad,23.066389,72.624167
34,AMM,Queen Alia International,Jordan,Amman,31.722535,35.989318
35,AMQ,Pattimura,Indonesia,Ambon,-3.704996,128.088876
36,AOG,Anshan Teng'ao Airport,China,Anshan,41.105975,122.853926
37,AOJ,Aomori,Japan,Aomori,40.738757,140.689224
38,AOR,Sultan Abdul Halim,Malaysia,Alor Setar,6.191186,100.396629
39,AQG,Anqing Airport,China,Anqing,30.5825,117.0509
40,AQI,Qaisumah,Saudi Arabia,Qaisumah,28.334408,46.121316
41,AQJ,Aqaba,Jordan,Aqaba,29.610074,35.021511
42,ARD,Alor Island,Indonesia,Alor Island,-8.132639,124.598106
43,ASB,Ashgabat,Turkmenistan,Ashgabat,37.984183,58.366978
44,ASJ,Amami O Shima,Japan,Amami O Shima,28.431522,129.707933
45,ASR,Erkilet,Turkiye,Kayseri,38.770293,35.494891
46,ATQ,Amritsar,India,Amritsar,31.705398,74.806739
47,AUH,Zayed International Airport,United Arab Emirates,Abu Dhabi,24.426912,54.645974
48,AVA,An Shun/Huang Guo Shu Airport,China,An Shun,26.260049,105.872814
49,AWZ,Ahwaz,Iran,Ahwaz,31.342921,48.746682
50,AXF,Alxa Left Banner Airport,China,Alxa Left Banner,38.823318,105.630964
51,AXJ,Amakusa Airport,Japan,Amakusa,32.483262,130.155645
52,AXT,Akita,Japan,Akita,39.611771,140.220147
53,AYT,Antalya Airport,Turkiye,Antalya,36.899282,30.801349
54,AZD,Yazd Shahid Sadooghi,Iran,Yazd,31.903602,54.283264
