Origin,Origin Country,Destination,Destination Country,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
AAN,United Arab Emirates,CCJ,India,24.260231,55.616626,11.138782,75.949976
AAN,United Arab Emirates,ISB,Pakistan,24.260231,55.616626,33.548333,72.825
AAN,United Arab Emirates,KHT,Afghanistan,24.260231,55.616626,33.336574,69.960068
AAN,United Arab Emirates,TUK,Pakistan,24.260231,55.616626,25.983333,63.066667
AAP,Indonesia,CGK,Indonesia,-0.372898,117.250905,-6.130643,106.655526
AAP,Indonesia,SUB,Indonesia,-0.372898,117.250905,-7.377937,112.793782
AAP,Indonesia,BEJ,Indonesia,-0.372898,117.250905,2.155327,117.433488
AAP,Indonesia,YIA,Indonesia,-0.372898,117.250905,-7.905099,110.056623
AAP,Indonesia,DPS,Indonesia,-0.372898,117.250905,-8.748056,115.1675
AAP,Indonesia,UPG,Indonesia,-0.372898,117.250905,-5.077019,119.547738
AAT,China,URC,China,47.750361,88.084444,43.90126,87.475148
AAT,China,XIY,China,47.750361,88.084444,34.438416,108.760946
AAT,China,KRL,China,47.750361,88.084444,41.616399,86.143123
AAT,China,KCA,China,47.750361,88.084444,41.71806,82.98694
AAT,China,LHW,China,47.750361,88.084444,36.509497,103.61756
AAT,China,TLQ,China,47.750361,88.084444,43.019961,89.074545
AAT,China,KRY,China,47.750361,88.084444,45.616667,84.883333
AAT,China,YIN,China,47.750361,88.084444,43.951998,81.331444
AAT,China,TFU,China,47.750361,88.084444,30.314195,104.44186
AAT,China,TCG,China,47.750361,88.084444,46.670595,83.339733
AAT,China,PKX,China,47.750361,88.084444,39.508611,116.410833
AAT,China,CGQ,China,47.750361,88.084444,43.99611,125.68528
AAT,China,CAN,China,47.750361,88.084444,23.387862,113.29734
AAT,China,HRB,China,47.750361,88.084444,45.620854,126.23644
AAY,Republic of Yemen,ADE,Republic of Yemen,16.195959,52.173255,12.826116,45.037535
AAY,Republic of Yemen,SCT,Republic of Yemen,16.195959,52.173255,12.627546,53.909245
ABD,Iran,THR,Iran,30.363905,48.226598,35.691534,51.321868
ABD,Iran,MHD,Iran,30.363905,48.226598,36.235207,59.640996
ABD,Iran,IFN,Iran,30.363905,48.226598,32.745686,51.876381
ABT,Saudi Arabia,RUH,Saudi Arabia,20.294011,41.64002,24.959289,46.702876
ABT,Saudi Arabia,JED,Saudi Arabia,20.294011,41.64002,21.670232,39.150579
ABT,Saudi Arabia,DMM,Saudi Arabia,20.294011,41.64002,26.471111,49.797778
ABU,Indonesia,KOE,Indonesia,-9.075208,124.906972,-10.168536,123.667254
ACF,China,URC,China,40.435556,81.263889,43.90126,87.475148
ACF,China,SHF,China,40.435556,81.263889,44.244171,85.894731
ACF,China,TWC,China,40.435556,81.263889,39.888331,79.234455
ACF,China,KRL,China,40.435556,81.263889,41.616399,86.143123
ACF,China,YIN,China,40.435556,81.263889,43.951998,81.331444
ACF,China,AKU,China,40.435556,81.263889,41.259984,80.292618
ACF,China,KHG,China,40.435556,81.263889,39.53689,76.010387
ACF,China,TFU,China,40.435556,81.263889,30.314195,104.44186
ACF,China,TLQ,China,40.435556,81.263889,43.019961,89.074545
ACF,China,HTN,China,40.435556,81.263889,37.040434,79.872449
ACF,China,CGO,China,40.435556,81.263889,34.527519,113.840242
ACF,China,HGH,China,40.435556,81.263889,30.236934,120.432356
ACP,Iran,THR,Iran,37.347244,46.145116,35.691534,51.321868
ACX,China,KWE,China,25.085556,104.959444,26.544217,106.79598
ACX,China,PVG,China,25.085556,104.959444,31.143333,121.805278
ACX,China,TEN,China,25.085556,104.959444,27.883689,109.299019
ACX,China,WMT,China,25.085556,104.959444,27.96222,106.435
