,city_name,continent,country,country_code,display_name,elevation,iata,icao,latitude,longitude,name,routes,timezone
AAN,Al Ain,AS,United Arab Emirates,AE,"Al Ain (AAN), United Arab Emirates",869.0,AAN,OMAL,24.260231,55.616626,Al Ain International Airport,"[{'carriers': [{'iata': 'IX', 'name': 'Air India Express'}], 'iata': 'CCJ', 'km': 2594, 'min': 225}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'ISB', 'km': 1964, 'min': 193}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'KHT', 'km': 1721, 'min': 150}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'TUK', 'km': 775, 'min': 143}]",Asia/Dubai
AAP,Samarinda,AS,Indonesia,ID,"Samarinda (AAP), Indonesia",54.0,AAP,,-0.372898,117.250905,Aji Pangeran Tumenggung Airport,"[{'carriers': [{'iata': 'ID', 'name': 'Batik Air'}, {'iata': 'QG', 'name': 'Citilink'}], 'iata': 'CGK', 'km': 1338, 'min': 125}, {'carriers': [{'iata': 'JT', 'name': 'Lion Air'}, {'iata': 'QG', 'name': 'Citilink'}], 'iata': 'SUB', 'km': 919, 'min': 95}, {'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'BEJ', 'km': 280, 'min': 60}, {'carriers': [], 'iata': 'YIA', 'km': 1153, 'min': 115}, {'carriers': [], 'iata': 'DPS', 'km': 954, 'min': 100}, {'carriers': [], 'iata': 'UPG', 'km': 579, 'min': 75}]",Asia/Makassar
AAT,Altay,AS,China,CN,"Altay (AAT), China",1750.0,AAT,ZWAT,47.750361,88.084444,Altay Airport,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}], 'iata': 'URC', 'km': 430, 'min': 75}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'XIY', 'km': 2268, 'min': 215}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KRL', 'km': 698, 'min': 78}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KCA', 'km': 782, 'min': 100}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}], 'iata': 'LHW', 'km': 1784, 'min': 180}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TLQ', 'km': 531, 'min': 60}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'KRY', 'km': 340, 'min': 50}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'YIN', 'km': 672, 'min': 80}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'TFU', 'km': 2387, 'min': 270}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TCG', 'km': 378, 'min': 55}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'PKX', 'km': 2445, 'min': 243}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CGQ', 'km': 2919, 'min': 300}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CAN', 'km': 3507, 'min': 325}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'HRB', 'km': 2898, 'min': 295}]",Asia/Shanghai
AAY,Al Ghaydah,AS,Republic of Yemen,YE,"Al Ghaydah (AAY), Republic of Yemen",100.0,AAY,OYGD,16.195959,52.173255,Al Ghaydah,"[{'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'ADE', 'km': 854, 'min': 90}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'SCT', 'km': 436, 'min': 75}]",Asia/Aden
ABD,Abadan,AS,Iran,IR,"Abadan (ABD), Iran",10.0,ABD,OIAA,30.363905,48.226598,Abadan,"[{'carriers': [{'iata': 'EP', 'name': 'Iran Aseman Airlines'}, {'iata': 'IR', 'name': 'Iran Air'}, {'iata': 'QB', 'name': 'Qeshm Air'}], 'iata': 'THR', 'km': 657, 'min': 80}, {'carriers': [{'iata': 'EP', 'name': 'Iran Aseman Airlines'}, {'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'B9', 'name': 'Iran Airtour'}, {'iata': 'IS', 'name': 'AIS Airlines'}], 'iata': 'MHD', 'km': 1245, 'min': 120}, {'carriers': [{'iata': 'EP', 'name': 'Iran Aseman Airlines'}], 'iata': 'IFN', 'km': 435, 'min': 55}]",Asia/Tehran
ABT,Al-Baha,AS,Saudi Arabia,SA,"Al-Baha (ABT), Saudi Arabia",5486.0,ABT,OEBA,20.294011,41.64002,Al-Aqiq Airport,"[{'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'XY', 'name': 'Flynas'}], 'iata': 'RUH', 'km': 733, 'min': 100}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}], 'iata': 'JED', 'km': 300, 'min': 65}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'DMM', 'km': 1078, 'min': 115}]",Asia/Riyadh
ABU,Atambua,AS,Indonesia,ID,"Atambua (ABU), Indonesia",1027.0,ABU,WATA,-9.075208,124.906972,Haliwen Airport,"[{'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'KOE', 'km': 182, 'min': 50}]",Asia/Makassar
ACF,Alaer,AS,China,CN,"Alaer (ACF), China",3338.0,ACF,,40.435556,81.263889,Alaer Talimu Airport,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}], 'iata': 'URC', 'km': 641, 'min': 75}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}, {'iata': 'G5', 'name': 'Gestair'}], 'iata': 'SHF', 'km': 569, 'min': 95}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TWC', 'km': 183, 'min': 38}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KRL', 'km': 430, 'min': 65}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'YIN', 'km': 390, 'min': 65}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'AKU', 'km': 122, 'min': 40}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KHG', 'km': 459, 'min': 78}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}, {'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TFU', 'km': 2376, 'min': 235}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TLQ', 'km': 710, 'min': 90}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'HTN', 'km': 395, 'min': 65}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'CGO', 'km': 2937, 'min': 235}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'HGH', 'km': 3702, 'min': 335}]",Asia/Shanghai
ACP,Sahand,AS,Iran,IR,"Sahand (ACP), Iran",0.0,ACP,,37.347244,46.145116,Sahand Airport,"[{'carriers': [{'iata': 'IR', 'name': 'Iran Air'}], 'iata': 'THR', 'km': 498, 'min': 90}]",Asia/Tehran
ACX,Xingyi,AS,China,CN,"Xingyi (ACX), China",4072.0,ACX,ZUYI,25.085556,104.959444,Xingyi Airport,"[{'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}, {'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'KWE', 'km': 244, 'min': 58}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'PVG', 'km': 1783, 'min': 175}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'TEN', 'km': 532, 'min': 73}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'WMT', 'km': 351, 'min': 60}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CAN', 'km': 867, 'min': 100}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'CKG', 'km': 539, 'min': 95}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'WUH', 'km': 1107, 'min': 130}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'XIY', 'km': 1099, 'min': 130}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'ZUH', 'km': 923, 'min': 120}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'LLB', 'km': 305, 'min': 70}, {'carriers': [{'iata': 'KN', 'name': 'China United Airlines'}], 'iata': 'PKX', 'km': 1925, 'min': 195}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'JHG', 'km': 549, 'min': 80}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'CTU', 'km': 616, 'min': 85}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'SZX', 'km': 941, 'min': 110}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'HGH', 'km': 1628, 'min': 155}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'FOC', 'km': 1480, 'min': 150}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'KMG', 'km': 204, 'min': 55}, {'carriers': [{'iata': 'GY', 'name': 'Colorful GuiZhou Airlines'}], 'iata': 'NGB', 'km': 1711, 'min': 145}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'SWA', 'km': 1184, 'min': 140}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TFU', 'km': 581, 'min': 80}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'HAK', 'km': 803, 'min': 110}]",Asia/Shanghai
