,Origin,Destination,Destination_Latitude,Destination_Longitude
0,ACX,KWE,26.544217,106.79598
1,ACX,PVG,31.143333,121.805278
3,ACX,WMT,27.96222,106.435
4,ACX,CAN,23.387862,113.29734
5,ACX,CKG,29.7192,106.641998
6,ACX,WUH,30.776789,114.217577
7,ACX,XIY,34.438416,108.760946
8,ACX,ZUH,22.011788,113.370601
10,ACX,PKX,39.508611,116.410833
11,ACX,JHG,21.973422,100.766454
12,ACX,CTU,30.581134,103.956799
13,ACX,SZX,22.639444,113.810833
14,ACX,HGH,30.236934,120.432356
15,ACX,FOC,25.931231,119.66923
16,ACX,KMG,25.101944,102.929167
17,ACX,NGB,29.826696,121.462002
18,ACX,SWA,23.54944,116.510277
19,ACX,TFU,30.314195,104.44186
20,ACX,HAK,19.934877,110.45896
21,ADB,IST,41.260278,28.741944
22,ADB,SAW,40.904676,29.309188
23,ADB,ESB,40.114941,32.993145
25,ADB,AYT,36.899282,30.801349
28,ADB,GYD,40.462487,50.05039
30,ADB,TZX,40.994191,39.781681
33,ADB,BEY,33.826073,35.493082
34,ADB,IKA,35.408632,51.1548
38,ADB,AUH,24.426912,54.645974
39,ADB,TBS,41.674063,44.958958
44,ADB,DXB,25.256557,55.366071
45,ADB,JED,21.670232,39.150579
46,AKU,URC,43.90126,87.475148
47,AKU,TFU,30.314195,104.44186
48,AKU,CGO,34.527519,113.840242
49,AKU,YIN,43.951998,81.331444
50,AKU,LHW,36.509497,103.61756
52,AKU,CKG,29.7192,106.641998
53,AKU,XIY,34.438416,108.760946
57,AKU,INC,38.323031,106.388059
59,AKU,KHG,39.53689,76.010387
63,AKU,JJN,24.802809,118.587293
64,AKU,KRL,41.616399,86.143123
65,AKU,PEK,40.078538,116.587095
66,AKU,WUH,30.776789,114.217577
67,ALA,NQZ,51.027811,71.461199
70,ALA,TAS,41.257893,69.281204
72,ALA,IST,41.260278,28.741944
73,ALA,DXB,25.256557,55.366071
76,ALA,DEL,28.556162,77.099958
78,ALA,URC,43.90126,87.475148
79,ALA,ICN,37.458764,126.441961
82,ALA,DOH,25.260988,51.613594
84,ALA,AYT,36.899282,30.801349
85,ALA,FRU,43.053581,74.469449
87,ALA,AUH,24.426912,54.645974
90,ALA,GYD,40.462487,50.05039
92,ALA,PEK,40.078538,116.587095
93,ALA,SHJ,25.320873,55.52029
94,ALA,TBS,41.674063,44.958958
95,ALA,PKX,39.508611,116.410833
96,ALA,HKT,8.107619,98.306436
99,ALA,KWI,29.240116,47.971251
101,ALA,BKK,13.693062,100.752044
102,ALA,HGH,30.236934,120.432356
103,ALA,KUL,2.744344,101.717259
104,ALA,SAW,40.904676,29.309188
105,ALA,MLE,4.19183,73.529108
106,ALA,UBN,47.646944,106.819722
107,ALA,ESB,40.114941,32.993145
108,ALA,JED,21.670232,39.150579
112,ALA,XIY,34.438416,108.760946
115,ALA,MCT,23.600739,58.284042
116,ALA,MED,24.544369,39.698966
118,AMD,DEL,28.556162,77.099958
119,AMD,BOM,19.089891,72.868047
120,AMD,BLR,13.200771,77.710228
121,AMD,PNQ,18.581389,73.920556
122,AMD,AUH,24.426912,54.645974
123,AMD,JAI,26.822004,75.800995
124,AMD,CCU,22.655,88.447
125,AMD,DXB,25.256557,55.366071
126,AMD,HYD,17.233702,78.430427
127,AMD,IDR,22.72715,75.808227
129,AMD,MAA,12.982267,80.163782
131,AMD,LKO,26.764257,80.884186
136,AMD,KWI,29.240116,47.971251
138,AMD,BBI,20.252853,85.817385
139,AMD,JED,21.670232,39.150579
140,AMD,KUL,2.744344,101.717259
141,AMD,DMK,13.9125,100.606667
146,AMD,SGN,10.813045,106.662477
147,AMD,BKK,13.693062,100.752044
148,AMD,COK,10.155644,76.390537
149,AMD,DOH,25.260988,51.613594
150,AMD,SHJ,25.320873,55.52029
151,AMD,SIN,1.361173,103.990201
155,AMD,GOX,15.73139,73.86778
160,AMD,HAN,21.214184,105.802827
166,AMM,RUH,24.959289,46.702876
167,AMM,JED,21.670232,39.150579
168,AMM,IST,41.260278,28.741944
169,AMM,DXB,25.256557,55.366071
170,AMM,BEY,33.826073,35.493082
171,AMM,DOH,25.260988,51.613594
172,AMM,BGW,33.255879,44.232069
173,AMM,AUH,24.426912,54.645974
174,AMM,KWI,29.240116,47.971251
176,AMM,SHJ,25.320873,55.52029
